#,NEGERI,PPD,KOD SEKOLAH,NAMA SEKOLAH,NO TELEFON,STATUS,PILIHANSEKOLAH,PERINGKAT,JENISSEKOLAH,GRED,LOKASI,JENISBANTUAN,SESI,ASRAMA,KUARTERS,PARLIMEN,DUN,MURID,GURU,AKP
,JOHOR,PPD BATU PAHAT,JBA0001,SEKOLAH KEBANGSAAN LUBOK,74164398,Beroperasi,Sekolah KPM,Rendah,SK,C,Luar Bandar,Sekolah Kerajaan,Pagi Sahaja,Tiada Asrama,Tiada,PARIT SULONG,SEMERAH,110,20,5
,JOHOR,PPD BATU PAHAT,JBA0002,SEKOLAH KEBANGSAAN SERI MAAMOR,74164916,Beroperasi,Sekolah KPM,Rendah,SK,C,Bandar,Sekolah Kerajaan,Pagi Sahaja,Tiada Asrama,Tiada,PARIT SULONG,SEMERAH,138,16,3
,JOHOR,PPD BATU PAHAT,JBA0003,SEKOLAH KEBANGSAAN SERI PENGKALAN,74164584,Beroperasi,Sekolah KPM,Rendah,SK,C,Luar Bandar,Sekolah Kerajaan,Pagi Sahaja,Tiada Asrama,Tiada,PARIT SULONG,SEMERAH,97,15,3
,JOHOR,PPD BATU PAHAT,JBA0004,SEKOLAH KEBANGSAAN SERI UTAMA,74163858,Beroperasi,Sekolah KPM,Rendah,SK,B,Bandar,Sekolah Kerajaan,Pagi Sahaja,Tiada Asrama,Tiada,PARIT SULONG,SEMERAH,358,32,6
,JOHOR,PPD BATU PAHAT,JBA0005,SEKOLAH KEBANGSAAN BAGAN,74139916,Beroperasi,Sekolah KPM,Rendah,SK,B,Bandar,Sekolah Kerajaan,Pagi Sahaja,Tiada Asrama,Ada,PARIT SULONG,SEMERAH,160,18,3
,JOHOR,PPD BATU PAHAT,JBA0006,SEKOLAH KEBANGSAAN SERI SEKAWAN DESA,74130495,Beroperasi,Sekolah KPM,Rendah,SK,C,Bandar,Sekolah Kerajaan,Pagi Sahaja,Tiada Asrama,Tiada,PARIT SULONG,SEMERAH,127,16,3
,JOHOR,PPD BATU PAHAT,JBA0007,SEKOLAH KEBANGSAAN GAMBUT,74164941,Beroperasi,Sekolah KPM,Rendah,SK,C,Luar Bandar,Sekolah Kerajaan,Pagi Sahaja,Tiada Asrama,Tiada,PARIT SULONG,SEMERAH,95,13,3
,JOHOR,PPD BATU PAHAT,JBA0008,SEKOLAH KEBANGSAAN SG KAJANG,74139861,Beroperasi,Sekolah KPM,Rendah,SK,B,Bandar,Sekolah Kerajaan,Pagi Sahaja,Tiada Asrama,Tiada,PARIT SULONG,SEMERAH,269,24,4
,JOHOR,PPD BATU PAHAT,JBA0009,SEKOLAH KEBANGSAAN PESERAI,74138159,Beroperasi,Sekolah KPM,Rendah,SK,B,Bandar,Sekolah Kerajaan,Pagi Sahaja,Tiada Asrama,Tiada,PARIT SULONG,SEMERAH,728,53,10
,JOHOR,PPD BATU PAHAT,JBA0010,SEKOLAH KEBANGSAAN SERI CHANTEK,74185818,Beroperasi,Sekolah KPM,Rendah,SK,B,Luar Bandar,Sekolah Kerajaan,Pagi Sahaja,Tiada Asrama,Tiada,PARIT SULONG,SRI MEDAN,257,23,3
